MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,15435.0,32663.4499999999,16604.5,2297474.0,2427786.768,2804433.74,86.57,28046.5332696,702.431459,28748.9647286,218449.538637,36099.4178520001,737.898512989999,255286.85500199,283950.487881,89.91,Air India26.xlsx,Air India
FEB,14477.0,30441.0300000001,15581.846,2188779.0,2321263.226,2626892.405,88.37,33485.1909951,966.3764891,34451.5674842,206942.170279999,43718.6467699999,1000.6319860968,251661.449036096,274499.88554,91.68,Air India26.xlsx,Air India
MAR,15759.0,32658.22,16826.421,2168434.0,2302689.77,2822560.032,81.58,36734.9390716,884.57255,37619.5116216,205952.560641,48575.74092,887.484232833999,255415.785793834,295078.646885999,86.56,Air India26.xlsx,Air India
APR,15082.0,31209.5799999999,16082.114,1949625.0,2067622.633,2692521.491,76.79,17766.2397315,988.756668,18754.9963995,184229.157770001,22332.7046600001,1056.346287142,207618.208717143,255303.971410999,81.32,Air India26.xlsx,Air India
MAY,15510.0,32343.79,16385.437,2144363.0,2254574.498,2777049.926,81.19,18967.5294578,1205.02795,20172.5574078,201411.15546,23939.60308,1296.3132938834,226647.071833883,266103.83263,85.17,Air India26.xlsx,Air India
JUN,11427.0,23306.39,12176.801,1644981.0,1751751.155,2089845.751,83.82,16787.700723,931.86645,17719.567173,157246.11127,20996.22545,1036.754941,179279.091661,204613.70757,87.62,Air India26.xlsx,Air India
JULY,11476.0,23277.9700000002,12158.647,1572677.0,1692152.216,2083251.377,81.23,17879.9755915,897.398841,18777.3744325,151775.448164,22637.1159099999,935.062230256,175347.626304256,204918.292596,85.57,Air India26.xlsx,Air India
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Air India26.xlsx,Air India
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Air India26.xlsx,Air India
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Air India26.xlsx,Air India
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Air India26.xlsx,Air India
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Air India26.xlsx,Air India
