MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,11270.0,21145.3333333333,10986.944,1736876.0,1728181.198,2002604.183,86.3,9184.003,0.0,9184.003,172818.1198,10516.844824,0.0,183334.964624,219738.88,83.43,air india express26.xlsx,air india express
FEB,10196.0,19249.8666666667,10042.878,1605622.0,1616320.335,1831390.373,88.26,6903.5201,321.642559,7225.162659,161632.0335,7953.3610936,309.311422351,169894.706015951,251071.95,67.67,air india express26.xlsx,air india express
MAR,10947.0,20419.3833333333,10572.9548750822,1604684.0,1604017.51987815,1924721.26801907,83.34,7110.139,322.478957,7432.617957,160401.751987815,8332.7911115137,300.038625193,169034.581724522,264323.871877055,63.95,air india express26.xlsx,air india express
APR,10265.0,19013.45,9800.26827429011,1460627.0,1451110.76844964,1792098.58752048,80.97,6905.595022,0.0,6905.595022,145111.076844963,7475.194811269,0.0,152586.271656232,245006.706857252,62.28,air india express26.xlsx,air india express
MAY,11616.0,21999.6833333333,11556.960643,1788544.0,1829036.811132,2114765.700424,86.49,7837.47923567764,0.0,7837.47923567764,182903.6811132,8926.96843882326,0.0,191830.649552024,288924.016074999,66.39,air india express26.xlsx,air india express
JUN,10003.0,19091.716667,10048.8717,1577340.0,1615916.88,1848920.25,87.4,7816.29186,484.6939,8300.98576,161591.688,9183.73213,96.53084,170871.95097,251221.792,68.02,air india express26.xlsx,air india express
JULY,8366.0,15770.916667,8230.311075,1302423.0,1307901.24293,1523459.57922,85.85,7257.831725,270.464379,7528.296104,130790.124293,8489.992623,67.177853,139347.294769,205757.776875,67.72,air india express26.xlsx,air india express
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,air india express26.xlsx,air india express
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,air india express26.xlsx,air india express
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,air india express26.xlsx,air india express
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,air india express26.xlsx,air india express
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,air india express26.xlsx,air india express
