MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,4144.0,9326.35,4769.433,727727.0,844006.522,905466.169,93.21,4134.43979,227.25462,4361.69441,70536.78367,5243.34537,290.65072,76070.77976,97801.99309,77.78,akasa air 26.xlsx,akasa air
FEB,3903.0,8797.8,4538.958,687287.0,804063.527,861652.531,93.32,4206.80566,223.95293,4430.75859,67241.21948,5341.2643,292.42479,72874.90857,93075.87284,78.3,akasa air 26.xlsx,akasa air
MAR,4560.0,10341.1,5340.787,778132.0,919960.102,1016099.059,90.54,4340.35021,247.16997,4587.52018,76264.43195,5483.16,325.36186,82072.95381,109518.17822,74.94,akasa air 26.xlsx,akasa air
APR,4593.0,10543.833333,5510.473,791273.0,953359.505,1039190.441,91.74,4262.18764,274.10272,4536.29036,78822.10548,5411.13076,364.12216,84597.3584,112997.75935,74.87,akasa air 26.xlsx,akasa air
MAY,5172.0,11896.4,6212.849,889666.0,1084782.622,1172646.503,92.51,5474.61805,309.8393,5784.45735,89607.7203,7071.5731,398.19791,97077.49131,127400.68161,76.2,akasa air 26.xlsx,akasa air
JUN,5001.0,11282.47,5963.064,855604.0,1033576.139,1121521.894,92.16,6056.41042,324.4692,6380.87962,85376.14985,7765.71408,388.41748,93530.28141,122278.59039,76.49,akasa air 26.xlsx,akasa air
JULY,3829.0,8590.7,4467.839,664572.0,784078.282,852930.276,91.93,5278.08692,302.25776,5580.34468,65169.43264,6666.84553,383.0908,72219.36897,91617.50652,78.83,akasa air 26.xlsx,akasa air
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akasa air 26.xlsx,akasa air
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akasa air 26.xlsx,akasa air
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akasa air 26.xlsx,akasa air
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akasa air 26.xlsx,akasa air
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akasa air 26.xlsx,akasa air
