MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,1378.0,1908.0,566.423,57459.0,24249.432,37442.125,64.77,0.0,0.0,0.0,2206.6983,0.0,0.0,2206.6983,3585.4402,61.55,alliance air26.xlsx,alliance air
FEB,1309.0,1786.0,523.143,53796.0,22518.46,34209.064,65.83,0.0,0.0,0.0,2049.1799,0.0,0.0,2049.1799,3270.3367,62.66,alliance air26.xlsx,alliance air
MAR,1214.0,1689.0,497.74,45672.0,19769.918,32604.696,60.64,0.0,0.0,0.0,1799.0625,0.0,0.0,1799.0625,3122.1898,57.62,alliance air26.xlsx,alliance air
APR,1156.0,1575.0,454.528,42677.0,18243.581,29836.52,61.15,0.0,0.0,0.0,1660.1659,0.0,0.0,1660.1659,2871.3106,57.82,alliance air26.xlsx,alliance air
MAY,1400.0,1887.0,541.463,50348.0,20946.758,34227.084,61.2,6.641,0.0,6.641,1906.155,0.0066,0.0,1906.1616,3276.0364,58.18,alliance air26.xlsx,alliance air
JUN,1417.0,1869.0,538.67,50896.0,20816.385,33714.335,61.74,14.983,0.0,14.983,1894.291,0.015,0.0,1894.306,3233.8723,58.58,alliance air26.xlsx,alliance air
JULY,1409.0,1879.0,551.335,50078.0,20792.337,34940.056,59.51,14.596,0.0,14.596,1892.1027,0.0146,0.0,1892.1173,3342.5985,56.61,alliance air26.xlsx,alliance air
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alliance air26.xlsx,alliance air
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alliance air26.xlsx,alliance air
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alliance air26.xlsx,alliance air
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alliance air26.xlsx,alliance air
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alliance air26.xlsx,alliance air
