MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,566.0,786.25,546.0,0.0,0.0,0.0,0.0,10231.954,0.0,10231.954,0.0,10164.0,0.0,10164.0,16152.0,62.93,bluedart26.xlsx,bluedart
FEB,572.0,806.0833,564.0,0.0,0.0,0.0,0.0,10291.478,0.0,10291.478,0.0,10365.0,0.0,10365.0,16669.0,62.18,bluedart26.xlsx,bluedart
MAR,610.0,848.65,602.0,0.0,0.0,0.0,0.0,11210.423,0.0,11210.423,0.0,11345.0,0.0,11345.0,18019.0,62.96,bluedart26.xlsx,bluedart
APR,556.0,754.6333,529.8373,0.0,0.0,0.0,0.0,10101.138,0.0,10101.138,0.0,9966.44,0.0,9966.44,16086.136,61.96,bluedart26.xlsx,bluedart
MAY,551.0,727.85,520.697,0.0,0.0,0.0,0.0,9952.35300000001,0.0,9952.35300000001,0.0,9765.464,0.0,9765.464,15777.979,61.89,bluedart26.xlsx,bluedart
JUN,475.0,658.416667,440.702,0.0,0.0,0.0,0.0,8843.838,0.0,8843.838,0.0,8381.246,0.0,8381.246,13260.842,63.2,bluedart26.xlsx,bluedart
JULY,553.0,737.05,537.8247,0.0,0.0,0.0,0.0,10484.551,0.0,10484.551,0.0,10366.441,0.0,10366.441,16120.389,64.31,bluedart26.xlsx,bluedart
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluedart26.xlsx,bluedart
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluedart26.xlsx,bluedart
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluedart26.xlsx,bluedart
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluedart26.xlsx,bluedart
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluedart26.xlsx,bluedart
