MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,588.0,781.7,268.0,33186.0,15073.09,18195.99,82.84,0.0,0.0,0.0,1247.16,0.0,0.0,1247.16,1546.66,80.64,fly91 26.xlsx,fly91
FEB,467.0,599.716666,215.42,24785.0,11479.48,14375.66,79.85,0.0,0.0,0.0,946.53,0.0,0.0,946.53,1221.93,77.46,fly91 26.xlsx,fly91
MAR,679.0,862.1666,309.52,33059.0,15013.8,20598.66,72.89,0.0,0.0,0.0,1235.26,0.0,0.0,1235.26,1750.89,70.55,fly91 26.xlsx,fly91
APR,845.0,1006.31667,356.05,38616.0,16566.87,25229.07,65.67,0.0,0.0,0.0,1356.96,0.0,0.0,1356.96,2144.47,63.28,fly91 26.xlsx,fly91
MAY,1128.0,1272.9833,445.44,54496.0,21912.12,31626.45,69.28,0.0,0.0,0.0,1790.83,0.0,0.0,1790.83,2688.25,66.62,fly91 26.xlsx,fly91
JUN,1110.0,1238.133333,436.46,56816.0,22632.66,30911.0,73.22,0.0,0.0,0.0,1848.14,0.0,0.0,1848.14,2627.44,70.34,fly91 26.xlsx,fly91
JULY,1060.0,1216.48333333333,430.89,56152.0,22841.66,30571.44,74.72,0.0,0.0,0.0,1870.82,0.0,0.0,1870.82,2598.57,71.99,fly91 26.xlsx,fly91
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly91 26.xlsx,fly91
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly91 26.xlsx,fly91
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly91 26.xlsx,fly91
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly91 26.xlsx,fly91
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly91 26.xlsx,fly91
