MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,263.0,350.833333,83.465,1573.0,521.73,751.185,69.45,0.0,0.0,0.0,46.9557,0.0,0.0,46.9557,67.60665,69.45,india one air26.xlsx,india one air
FEB,354.0,452.6666,106.337,1591.0,507.656,957.033,53.04,0.0,0.0,0.0,45.68904,0.0,0.0,45.68904,86.13297,53.04,india one air26.xlsx,india one air
MAR,403.0,517.58333,121.314,1750.0,557.99,1091.826,51.11,0.0,0.0,0.0,50.2191,0.0,0.0,50.2191,98.26434,51.11,india one air26.xlsx,india one air
APR,383.0,492.833333,115.238,1687.0,539.168,1037.142,51.99,0.0,0.0,0.0,48.52512,0.0,0.0,48.52512,93.34278,51.99,india one air26.xlsx,india one air
MAY,406.0,518.0,121.528,1835.0,585.408,1093.752,53.52,0.0,0.0,0.0,52.68672,0.0,0.0,52.68672,98.43768,53.52,india one air26.xlsx,india one air
JUN,351.0,446.333333,105.312,1802.0,563.184,947.808,59.42,0.0,0.0,0.0,50.6865,0.0,0.0,50.6865,85.30272,59.42,india one air26.xlsx,india one air
JULY,367.0,465.5,111.436,1386.0,444.864,1010.628,44.02,0.0,0.0,0.0,40.03776,0.0,0.0,40.03776,90.95652,44.02,india one air26.xlsx,india one air
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,india one air26.xlsx,india one air
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,india one air26.xlsx,india one air
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,india one air26.xlsx,india one air
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,india one air26.xlsx,india one air
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,india one air26.xlsx,india one air
