MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,58905.0,105662.0,52623.353,9704113.0,9207043.0,10501553.0,87.67,25942.02,2724.721,28666.741,828630.12879,30169.433972,2418.396196,861217.958958,1175608.45788,73.26,indigo26.xlsx,indigo
FEB,53451.0,95760.3833333333,47707.354,8870677.0,8463891.0,9444818.0,89.61,26549.384,2895.919,29445.303,761587.23753,30772.169985,2634.141903,794993.549418,1053109.459835,75.49,indigo26.xlsx,indigo
MAR,59494.0,106281.31666,52994.94,9118668.0,8750157.0,10483236.0,83.47,29546.485,2654.644,32201.129,787352.5782,34122.051748,2346.844,823821.473948,1169440.951505,70.45,indigo26.xlsx,indigo
APR,59264.0,105953.33,52488.547,8978789.0,8635297.0,10439820.0,82.71,28480.355,2764.371,31244.726,777013.69716,32747.970625,2465.811561,812227.479346,1188216.246747,68.36,indigo26.xlsx,indigo
MAY,62993.0,113100.6,56001.829,9991048.0,9603478.0,11112753.0,86.42,31854.671,2581.588,34436.259,863960.65533,37439.208161,2314.021415,903713.884906,1264853.573878,71.45,indigo26.xlsx,indigo
JUN,56588.0,99878.866667,50045.911,8920012.0,8501118.0,9984689.0,85.14,31532.228,2945.328,34477.556,764790.91983,37149.9657,2662.354527,804603.240057,1137029.631822,70.76,indigo26.xlsx,indigo
JULY,52259.0,91685.033333,45829.302,8081825.0,7600417.0,9218918.0,82.44,31946.361,3059.384,35005.745,683807.085,37167.211161,2698.984998,723673.281159,1051942.925599,68.79,indigo26.xlsx,indigo
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indigo26.xlsx,indigo
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indigo26.xlsx,indigo
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indigo26.xlsx,indigo
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indigo26.xlsx,indigo
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indigo26.xlsx,indigo
