MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,37.0,84.383333,43.841,0.0,0.0,0.0,0.0,442.904,0.0,442.904,0.0,522.301902,0.0,522.301902,964.502,54.15,quikjetcargo26.xlsx,quikjetcargo
FEB,24.0,50.9166666666667,27.24,0.0,0.0,0.0,0.0,308.279,0.0,308.279,0.0,349.896665,0.0,349.896665,599.28,58.39,quikjetcargo26.xlsx,quikjetcargo
MAR,21.0,44.983333,23.835,0.0,0.0,0.0,0.0,243.267,0.0,243.267,0.0,276.108045,0.0,276.108045,524.37,52.66,quikjetcargo26.xlsx,quikjetcargo
APR,73.0,156.51666,88.187,0.0,0.0,0.0,0.0,857.738,0.0,857.738,0.0,1033.964305,0.0,1033.964305,1940.114,53.29,quikjetcargo26.xlsx,quikjetcargo
MAY,85.0,190.96666,104.463,0.0,0.0,0.0,0.0,963.692,0.0,963.692,0.0,1130.609489,0.0,1130.609489,2298.186,49.2,quikjetcargo26.xlsx,quikjetcargo
JUN,83.0,192.9,101.36,0.0,0.0,0.0,0.0,804.599,0.0,804.599,0.0,988.27265,0.0,988.27265,2229.92,44.32,quikjetcargo26.xlsx,quikjetcargo
JULY,63.0,148.15,81.387,0.0,0.0,0.0,0.0,763.846,0.0,763.846,0.0,991.252,0.0,991.252,1790.514,55.36,quikjetcargo26.xlsx,quikjetcargo
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quikjetcargo26.xlsx,quikjetcargo
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quikjetcargo26.xlsx,quikjetcargo
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quikjetcargo26.xlsx,quikjetcargo
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quikjetcargo26.xlsx,quikjetcargo
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quikjetcargo26.xlsx,quikjetcargo
