MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,4028.0,6436.16666666667,3971.184,591582.0,604598.193,703894.815,85.89,3104.82358,0.0,3104.82358,45344.864475,3550.37658957,0.0,48895.24106457,62651.746,78.04,spicejet26.xlsx,spicejet
FEB,3691.0,5977.91666666667,3725.872,554895.0,592014.487,665468.603,88.96,3461.14752,0.0,3461.14752,44401.086525,4062.20616874,0.0,48463.29269374,59755.104,81.1,spicejet26.xlsx,spicejet
MAR,3828.0,6105.95,3812.448,540882.0,568109.606,685778.001,82.84,3359.56551999999,0.0,3359.56551999999,42608.22045,3848.55069361,0.0,46456.77114361,62057.3165,74.86,spicejet26.xlsx,spicejet
APR,3422.0,5526.08333333333,3469.662,473750.0,505680.233,626333.379,80.74,2293.50981,0.0,2293.50981,37926.017475,2645.14654854,0.0,40571.16402354,56835.17,71.38,spicejet26.xlsx,spicejet
MAY,2660.0,4246.35,2604.064,386405.0,402727.361,460657.629,87.42,2021.12723,0.0,2021.12723,30204.552075,2289.69573591,0.0,32494.24781091,41728.151,77.87,spicejet26.xlsx,spicejet
JUN,1837.0,2811.75,1705.749,262525.0,257136.765,292892.613,87.79,1209.14829,0.0,1209.14829,19285.257375,1357.800633,0.0,20643.058008,27411.381,75.31,spicejet26.xlsx,spicejet
JULY,1417.0,2070.066667,1197.527,187280.0,164897.791,196189.816,84.05,994.26744,0.0,994.26744,12367.334325,1041.742314,0.0,13409.076639,18176.112,73.77,spicejet26.xlsx,spicejet
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spicejet26.xlsx,spicejet
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spicejet26.xlsx,spicejet
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spicejet26.xlsx,spicejet
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spicejet26.xlsx,spicejet
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spicejet26.xlsx,spicejet
