MONTH,DEPARTURES,HOURS,KILOMETRE,PASSENGERS_CARRIED,PASSENGER_KILOMETRES_PERFORMED,SEAT_KILOMETRES_AVAILABLE,PASSENGER_LOAD_FACTOR,FREIGHT_CARRIED_TONNES,MAIL_CARRIED_TONNES,FREIGHT_MAIL_TONNES_PERFORMED,TOTAL_TONNES_PERFORMED,CAPACITY_TONNES_AVAILABLE,WEIGHT_LOAD_FACTOR,REV_PASSENGERS,NON_REV_PASSENGERS,AIRCRAFT_KMS,SOURCE_FILE,airline
JAN,1618.0,2063.66666666667,879.76,97198.0,56163.341,72264.064,77.72,0.0,0.0,0.0,5054.70069,0.0,0.0,5054.70069,6503.76576,77.72,star air26.xlsx,star air
FEB,1250.0,1599.166667,702.475,77261.0,46840.264,59249.008,79.06,0.0,0.0,0.0,4215.62376,0.0,0.0,4215.62376,5332.41072,79.06,star air26.xlsx,star air
MAR,1477.0,1901.0,811.122,78549.0,47210.0,67759.0,69.67,0.0,0.0,0.0,4249.0,0.0,0.0,4249.0,6096.0,69.7,star air26.xlsx,star air
APR,1444.0,1819.0,764.785,77772.0,46113.22352,63814.864,72.26,0.0,0.0,0.0,4150.1901168,0.0,0.0,4150.1901168,5743.33776,72.26,star air26.xlsx,star air
MAY,1432.0,1791.75,735.529,82996.0,46605.468,61260.472,76.08,0.0,0.0,0.0,4194.49212,0.0,0.0,4194.49212,5513.44248,76.08,star air26.xlsx,star air
JUN,1560.0,1976.25,814.836,89006.0,50625.0,67497.0,75.0,0.0,0.0,0.0,4556.3,0.0,0.0,4556.3,6074.73,75.0,star air26.xlsx,star air
JULY,1459.0,1887.833333,787.591,83018.0,48665.0,65454.0,74.35,0.0,0.0,0.0,4379.86,0.0,0.0,4379.86,5890.86,74.35,star air26.xlsx,star air
AUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,star air26.xlsx,star air
SEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,star air26.xlsx,star air
OCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,star air26.xlsx,star air
NOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,star air26.xlsx,star air
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,star air26.xlsx,star air
