month,combined_index,inflation_pct,rural_index,urban_index
2025-01,101.67,,101.81,101.49
2025-02,101.32,,101.33,101.3
2025-03,101.39,,101.34,101.47
2025-04,101.58,,101.49,101.71
2025-05,101.9,,101.78,102.06
2025-06,102.51,,102.39,102.66
2025-07,103.35,,103.34,103.36
2025-08,103.74,,103.84,103.6
2025-09,103.74,,103.8,103.66
2025-10,103.74,,103.85,103.61
2025-11,104.01,,104.16,103.83
2025-12,104.1,,104.19,103.98
2026-01,104.45,,104.59,104.28
2026-02,104.57,,104.74,104.36
2026-03,104.84,,105.02,104.62
2026-04,105.12,,105.28,104.92
2026-05,105.91,,106.11,105.66
2026-06,107.0,,107.24,106.69
2026-07,107.94,,108.34,107.45
