route_id,origin,destination,total_passengers,weight
DELHI-MUMBAI,DELHI,MUMBAI,4029444.0,0.040979
BENGALURU-DELHI,BENGALURU,DELHI,2885936.0,0.029345
BENGALURU-MUMBAI,BENGALURU,MUMBAI,2476421.0,0.025181
DELHI-HYDERABAD,DELHI,HYDERABAD,1862287.0,0.018936
DELHI-KOLKATA,DELHI,KOLKATA,1778985.0,0.018089
DELHI-PUNE,DELHI,PUNE,1704284.0,0.01733
GOA-MUMBAI,GOA,MUMBAI,1495328.0,0.015205
AHMEDABAD-DELHI,AHMEDABAD,DELHI,1402813.0,0.014264
DELHI-GOA,DELHI,GOA,1352032.0,0.013748
CHENNAI-MUMBAI,CHENNAI,MUMBAI,1312448.0,0.013345
HYDERABAD-MUMBAI,HYDERABAD,MUMBAI,1285881.0,0.013075
KOLKATA-MUMBAI,KOLKATA,MUMBAI,1281897.0,0.013035
CHENNAI-DELHI,CHENNAI,DELHI,1277274.0,0.012988
BENGALURU-HYDERABAD,BENGALURU,HYDERABAD,1217734.0,0.012382
AHMEDABAD-MUMBAI,AHMEDABAD,MUMBAI,1215086.0,0.012355
BENGALURU-KOLKATA,BENGALURU,KOLKATA,1204113.0,0.012244
DELHI-SRINAGAR,DELHI,SRINAGAR,1141145.0,0.011604
BENGALURU-PUNE,BENGALURU,PUNE,1079353.0,0.010975
DELHI-GUWAHATI,DELHI,GUWAHATI,938099.0,0.009539
DELHI-PATNA,DELHI,PATNA,908354.0,0.009236
BENGALURU-GOA,BENGALURU,GOA,875214.0,0.008899
BENGALURU-CHENNAI,BENGALURU,CHENNAI,872523.0,0.008872
DELHI-LUCKNOW,DELHI,LUCKNOW,854555.0,0.008689
KOCHI-MUMBAI,KOCHI,MUMBAI,805813.0,0.008194
BENGALURU-KOCHI,BENGALURU,KOCHI,790980.0,0.008043
BAGDOGRA-DELHI,BAGDOGRA,DELHI,786281.0,0.007995
CHENNAI-HYDERABAD,CHENNAI,HYDERABAD,731896.0,0.007442
GOA-HYDERABAD,GOA,HYDERABAD,704733.0,0.007166
CHENNAI-KOLKATA,CHENNAI,KOLKATA,690237.0,0.007019
AHMEDABAD-BENGALURU,AHMEDABAD,BENGALURU,688483.0,0.007001
BHUBANESWAR-DELHI,BHUBANESWAR,DELHI,687573.0,0.006991
JAIPUR-MUMBAI,JAIPUR,MUMBAI,672006.0,0.006833
DELHI-INDORE,DELHI,INDORE,668847.0,0.006801
AMRITSAR-DELHI,AMRITSAR,DELHI,636890.0,0.006476
LUCKNOW-MUMBAI,LUCKNOW,MUMBAI,615595.0,0.00626
HYDERABAD-VISHAKHAPATNAM,HYDERABAD,VISHAKHAPATNAM,610591.0,0.006209
DELHI-KOCHI,DELHI,KOCHI,570247.0,0.005798
HYDERABAD-KOLKATA,HYDERABAD,KOLKATA,569420.0,0.00579
DELHI-VARANASI,DELHI,VARANASI,565232.0,0.005747
MUMBAI-VARANASI,MUMBAI,VARANASI,556772.0,0.005661
GUWAHATI-KOLKATA,GUWAHATI,KOLKATA,551057.0,0.005603
CHANDIGARH-DELHI,CHANDIGARH,DELHI,538851.0,0.005479
DELHI-LEH,DELHI,LEH,513153.0,0.005218
DELHI-RANCHI,DELHI,RANCHI,511122.0,0.005197
DELHI-RAIPUR,DELHI,RAIPUR,507361.0,0.005159
